Designator,Footprint,Quantity,Value,LCSC Part #
C1,0805,1,100n,C28233
"C12, C6",0805,2,0.1u,C28233
"C13, C73",0805,2,1u,C28323
"C14, C3",0805,2,1u,C28323
"C16, C20, C24, C28, C32, C4, C40, C42, C46, C48, C52, C54, C58, C60, C66, C67, C68, C69, C71, C72",1206,20,0.1u,C24497
C17,0805,1,47u,C16780
"C18, C22, C26, C30, C34, C36, C38, C64, CE1, CE2, CE3, CE4",1206,12,1u,C1848
"C19, C23, C27, C31",CP_EIA-3216-18_Kemet-A,4,10u,C110052
C2,0805,1,10u,C15850
"C21, C25, C29, C33",1206,4,680n,C1881
"C35, C37, C39, C43, C49, C55, C61, C65",1206,8,680n,C1881
"C41, C47, C53, C59",0402,4,0.01u,C15195
"C44, C50, C56, C62",0402,4,0.01u,C15195
C5,1206,1,0.1u,C24497
C7,0805,1,0.1u,C28233
C70,0402,1,0.1u,C1525
"C74, C76",0402,2,0.1u,C1525
C75,1206,1,0.1u,C24497
"C8, C9",1206,2,100n,C24497
D1,D_PowerDI-5,1,SDT10A45P5, C2759901
"D10, D13, D16, D19, D22, D8",1206,6,LED,C14641
"D11, D14, D17, D20, D23",D_SMA,5,D_Schottky,C7428238
"D2, D5",1206,2,LED,C2298
D4,SOT-23,1,LM4040DBZ-4.1,C126807
D6,1206,1,HBT,C2298
D7,1206,1,LED,C125084
F2,1812,1,Fuse,C55996
"F3, F4, F5, F6, F7",1812,5,Fuse,C21010
L1,L_Sunlord_SWPA5040S,1,3.3u,C305173
"Q1, Q10, Q11, Q12, Q9",SOT-23,5,AO3400A,C20917
Q4,SOT-23,1,AO3400A,C20917
R1,1206,1,470,C4502
"R10, R19",1206,2,10k,C1489
"R100, R109, R111, R113, R115, R117, R14_2, R15, R18, R23, R24, R25, R26, R30, R31, R32, R33, R37, R38, R39, R40, R44, R45, R46, R47, R48, R49, R53, R54, R58, R59, R64, R65, R68, R70, R71, R74, R76, R77, R80, R82, R83, R86, R99",1206,44,1k,C104594
"R101, R50, R55, R60",1206,4,30,C17886
"R102, R51, R56, R61",1206,4,47k,C25664
"R103, R52, R57, R62",0402,4,3.3k,C26032
"R105, R106, R119, R120, R88, R89, R92, R93, R96, R97",1206,10,1k,C104594
"R107, R121, R90, R94, R98",1206,5,10k,C1489
"R108, R110, R112, R114, R116",2512,5,10m,C105142
R11,0603,1,10k,C15401
R12,1206,1,10k,C17902
R122,2512,1,10m,C105142
"R123, R9",1206,2,1k,C4410
R124,1206,1,100k,C17900
R125,0805,1,50k,C316211
"R127, R128, R129, R130, R22, R29, R36, R43",0402,8,3.3k,C25890
R13,1206,1,250,C2828898
R14,1206,1,250,C2828898
R16,1206,1,15k,C1493
R17,1206,1,5k,C872846
R2,0603,1,1.8k,C4177
"R20, R27, R34, R41",1206,4,330,C17930
"R21, R28, R35, R42",0402,4,3.3k,C25890
R3,0603,1,52.3k,C185323
R5,1206,1,40k,C870723
"R63, R69, R75, R81",1206,4,100,C17901
"R66, R72, R78, R84",1206,4,100,C17901
"R67, R73, R79, R85",1206,4,1M,C17927
U1,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm,1,TVS1400DRV,C1975229
"U10, U17, U6, U9",SO-14_3.9x8.65mm_P1.27mm,4,TLV9304xD,C2873295
"U11, U3",SOIC-16_3.9x9.9mm_P1.27mm,2,MCP3208,C16939
U13,SOIC-16_3.9x9.9mm_P1.27mm,1,MCP3208,C16939
"U14, U16",SOT-363_SC-70-6,2,NUP4202,C2937014
"U18, U19, U20, U21",SOIC-8_3.9x4.9mm_P1.27mm,4,AD8223,C1346337
"U2, U5",SOT-363_SC-70-6,2,NUP4202,C2937014
"U23, U25, U27, U29",SOT-23,4,TLVH431,C2156609
U30,SOT-23-5,1,INA180A4,C133969
U31,TSSOP-14_4.4x5mm_P0.65mm,1,INA180A4,C2058313
U33,SOT-23-5,1,INA180A2,C116203
U36,SOT-23-5,1,TLV9301xDBV,C4366617
U7,SO-14_3.9x8.65mm_P1.27mm,1,TLV9304xD,C2873295
U8,TSOT-23-6,1,AP62300WU,C1880390
