Designator,Mid X,Mid Y,Rotation,Layer
C1,89.6874,21.209,270,top
C12,142.2654,48.199,90,top
C13,97.5614,33.401,90,top
C14,146.0754,51.689,0,top
C16,100.6897,91.68,0,top
C17,97.8154,19.939,90,top
C18,83.1892,94.0448,90,top
C19,42.9768,119.888,0,top
C2,97.8154,23.495,270,top
C20,42.9302,117.3366,180,top
C21,78.16,94.0448,270,top
C22,68.1778,94.1063,90,top
C23,42.7736,97.409,0,top
C24,42.7252,94.9592,180,top
C25,73.2324,94.0702,270,top
C26,68.4318,79.5668,270,top
C27,42.291,72.0344,0,top
C28,42.3926,69.723,180,top
C29,73.2578,79.5668,90,top
C3,119.9134,52.451,0,top
C30,83.0114,79.565,270,top
C31,45.7454,53.7718,0,top
C32,45.7693,51.4642,180,top
C33,78.1854,79.565,90,top
C34,167.2184,98.2472,180,top
C35,167.1676,93.472,180,top
C36,181.5333,98.5012,0,top
C37,181.544,93.6752,0,top
C38,181.3898,84.074,0,top
C39,181.417,88.8238,0,top
C4,75.6962,94.0702,270,top
C40,86.9696,108.7374,90,top
C41,78.2854,114.935,180,top
C42,81.9461,118.8522,180,top
C43,100.7174,89.2514,180,top
C44,85.4964,113.03,180,top
C46,103.5368,106.9806,90,top
C47,96.9264,114.046,180,top
C48,100.848,117.7248,180,top
C49,100.6666,94.1282,180,top
C5,54.7158,93.8162,270,top
C50,104.7814,111.6034,180,top
C52,122.9614,105.537,90,top
C53,114.2041,113.6051,180,top
C54,118.1919,117.1357,180,top
C55,116.1606,94.179,0,top
C56,121.5644,111.379,180,top
C58,138.5634,106.9044,90,top
C59,131.7977,113.3704,180,top
C6,115.8494,49.149,90,top
C60,135.0743,117.0026,180,top
C61,116.1606,89.3022,0,top
C62,137.8204,110.843,90,top
C64,167.1168,83.7545,180,top
C65,167.1168,88.5952,180,top
C66,222.127,68.1004,0,top
C67,226.826,68.1228,0,top
C68,230.6363,53.4162,0,top
C69,222.0214,53.4416,180,top
C7,93.2434,49.657,180,top
C70,224.5868,41.9608,180,top
C71,221.9495,20.2946,180,top
C72,230.7844,19.9898,0,top
C73,96.7504,51.943,0,top
C74,127.2794,13.4112,0,top
C75,130.708383,6.3406,90,top
C76,123.357,31.8246,0,top
C8,181.4454,91.2114,180,top
C9,180.1114,113.665,0,top
CE1,100.7174,84.4254,180,top
CE2,100.6902,98.9796,180,top
CE3,116.1245,98.9542,0,top
CE4,116.1606,84.5016,0,top
D1,142.8994,33.805027,90,top
D10,208.0808,80.013,90,top
D11,214.8773,78.5906,270,top
D13,205.8894,60.6806,90,top
D14,212.468,58.7502,270,top
D16,206.0801,44.8056,90,top
D17,212.6488,43.7388,270,top
D19,206.1507,28.4575,90,top
D2,121.2596,14.8082,90,top
D20,212.1916,27.2288,270,top
D22,206.3793,11.986,90,top
D23,212.4456,10.922,270,top
D4,100.7849,34.483,180,top
D5,95.1014,8.001,0,top
D6,4.605572,24.044804,180,top
D7,223.1644,114.5766,180,top
D8,219.2472,112.8746,90,top
F2,214.7475,114.1954,0,top
F3,203.5088,81.9434,0,top
F4,200.8856,64.6148,0,top
F5,201.1934,48.7172,0,top
F6,201.3927,32.4612,0,top
F7,201.1426,15.8496,0,top
L1,92.9894,16.383,0,top
Q1,198.9074,74.803,270,top
Q10,196.6214,41.275,270,top
Q11,197.1954,23.6705,270,top
Q12,197.6374,8.763,270,top
Q4,210.9114,107.2365,270,top
Q9,197.1294,57.8635,270,top
R1,118.033817,14.7414,90,top
R10,63.0174,88.519,270,top
R100,167.1168,86.233,0,top
R101,153.8433,125.349,180,top
R102,170.241,79.4365,90,top
R103,172.5778,80.137,90,top
R105,206.0702,22.0218,270,top
R106,190.7286,23.622,0,top
R107,190.7794,21.0566,180,top
R108,222.0795,75.795,0,top
R109,226.7351,70.8914,0,top
R11,91.5924,27.178,90,top
R110,227.9904,44.577,0,top
R111,231.9317,49.8602,90,top
R112,220.7514,40.2175,90,top
R113,220.7768,49.7987,90,top
R114,220.5525,32.4465,270,top
R115,220.7303,24.0284,270,top
R116,226.6442,26.6192,180,top
R117,232.1814,23.7236,270,top
R119,206.3793,6.886,270,top
R12,4.4704,37.1812,0,top
R120,190.6928,9.6492,0,top
R121,190.6674,7.1346,180,top
R122,127.9144,20.32,180,top
R123,130.482083,11.6351,270,top
R124,129.122783,29.8447,270,top
R125,129.122783,24.892,270,top
R127,171.704,104.394,270,top
R128,174.879,104.267,270,top
R129,175.641,78.232,90,top
R13,4.478572,26.457804,180,top
R130,172.593,77.849,90,top
R14_2,228.0158,114.5913,0,top
R14,91.2114,9.271,90,top
R15,219.3488,106.0928,270,top
R16,231.902,101.1174,270,top
R17,231.9528,96.0013,270,top
R18,203.9112,109.9177,0,top
R19,203.962,107.3015,180,top
R2,93.7514,35.311,0,top
R20,37.6174,124.841,90,top
R21,34.671,125.984,90,top
R22,34.671,123.698,90,top
R23,28.8544,118.237,180,top
R24,83.2654,99.0633,90,top
R25,80.6238,94.0194,90,top
R26,28.9348,113.2472,180,top
R27,36.6014,101.727,90,top
R28,33.909,104.521,90,top
R29,33.909,102.489,90,top
R3,89.5604,24.511,0,top
R30,28.8693,95.3148,180,top
R31,68.2286,99.0232,90,top
R32,70.794,94.0956,90,top
R33,29.0979,90.438,180,top
R34,37.6936,77.8256,90,top
R35,33.3248,78.738,90,top
R36,33.401,76.2,90,top
R37,28.3464,70.9968,180,top
R38,68.4572,74.817,270,top
R39,70.8702,79.5668,270,top
R40,28.9149,65.8152,180,top
R41,39.6494,57.785,90,top
R42,36.4744,58.674,90,top
R43,36.449,56.134,90,top
R44,31.0134,52.5818,180,top
R45,82.986,74.7769,270,top
R46,80.5984,79.5775,270,top
R47,31.2674,47.3456,180,top
R48,162.4432,98.2472,0,top
R49,167.2037,95.885,0,top
R5,63.0174,83.439,270,top
R50,171.0792,125.349,0,top
R51,169.4536,103.0478,270,top
R52,171.704,102.235,270,top
R53,186.3954,98.5012,180,top
R54,181.5186,96.0628,180,top
R55,176.0068,125.2982,180,top
R56,177.2768,103.1133,270,top
R57,174.879,102.235,270,top
R58,186.2176,84.074,180,top
R59,181.4424,86.4362,180,top
R60,191.2214,125.5522,0,top
R61,178.2674,79.502,90,top
R62,175.6512,80.389,90,top
R63,77.8821,119.1316,270,top
R64,95.9168,84.4,0,top
R65,100.692,86.813,0,top
R66,86.2387,118.903,270,top
R67,86.3918,115.388,0,top
R68,74.1991,114.6866,90,top
R69,96.1236,117.7903,270,top
R70,95.9257,99.005,0,top
R71,100.6666,96.5412,0,top
R72,104.531,117.5363,270,top
R73,104.8068,114.0164,0,top
R74,92.2628,113.7517,90,top
R75,113.5945,117.6838,270,top
R76,120.8489,98.9796,180,top
R77,116.1352,96.592,180,top
R78,122.1486,117.4496,270,top
R79,122.2566,113.5592,0,top
R80,110.0428,113.7881,90,top
R81,131.4929,117.2312,270,top
R82,120.9358,84.5524,180,top
R83,116.1606,86.8892,180,top
R84,138.6811,116.901,270,top
R85,138.665,113.0258,0,top
R86,127.865,113.8836,90,top
R88,208.157,75.0854,270,top
R89,192.4344,76.0976,0,top
R9,4.4704,40.4712,0,top
R90,192.4598,73.6592,180,top
R92,205.9402,55.7276,270,top
R93,190.1226,60.0172,0,top
R94,190.1668,56.7916,180,top
R96,206.0801,39.8056,270,top
R97,189.8185,41.7322,0,top
R98,189.8439,39.1668,180,top
R99,162.3541,83.7545,0,top
U1,130.9262,34.3123,270,top
U10,172.8064,113.2698,180,top
U11,138.876,54.2249,180,top
U13,88.9254,54.737,180,top
U14,91.6584,123.0526,180,top
U16,126.1516,121.9454,180,top
U17,108.5518,91.8676,0,top
U18,36.5506,116.8908,270,top
U19,36.4124,94.3864,270,top
U2,19.9644,106.0196,90,top
U20,36.2204,69.215,270,top
U21,38.5968,50.8762,270,top
U23,74.1934,110.236,0,top
U25,92.3544,109.093,0,top
U27,110.2614,108.839,0,top
U29,126.8984,108.458,0,top
U3,112.649,55.0489,180,top
U30,222.254,71.758,0,top
U31,226.4199,35.687,270,top
U33,127.912083,15.8436,0,top
U36,121.756783,29.3621,180,top
U5,20.3708,59.3344,90,top
U6,75.747,86.6138,270,top
U7,54.7766,87.5566,270,top
U8,93.2434,23.495,0,top
U9,174.1414,90.7288,180,top
